timestamp,back_x,back_y,back_z,thigh_x,thigh_y,thigh_z,label
2021-03-24 14:42:03.839,-0.999023,-0.0634769999999999,0.140625,-0.980469,-0.112061,-0.048096,6
2021-03-24 14:42:03.859,-0.980225,-0.079346,0.140625,-0.961182,-0.121582,-0.051758,6
2021-03-24 14:42:03.880,-0.950195,-0.076416,0.140625,-0.949463,-0.080566,-0.067139,6
2021-03-24 14:42:03.900,-0.954834,-0.059082,0.140381,-0.95752,-0.046143,-0.050781,6
2021-03-24 14:42:03.920,-0.972412,-0.042969,0.142822,-0.977051,-0.0236819999999999,-0.026611,6
2021-03-24 14:42:03.940,-0.98877,-0.026123,0.157227,-0.984863,-0.042725,-0.032715,6
2021-03-24 14:42:03.960,-1.001953,-0.016113,0.162109,-0.99292,-0.0754389999999999,-0.02417,6
2021-03-24 14:42:03.980,-1.0004879999999998,-0.0354,0.191406,-0.996338,-0.072754,-0.013428,6
2021-03-24 14:42:04.000,-0.996826,-0.056152,0.1875,-0.974609,-0.0603029999999999,-0.015625,6
2021-03-24 14:42:04.019,-0.978027,-0.0832519999999999,0.1875,-0.966797,-0.0625,-0.015625,6
2021-03-24 14:42:04.039,-0.966309,-0.0737299999999999,0.1875,-0.96875,-0.0603029999999999,-0.017578,6
2021-03-24 14:42:04.059,-0.96875,-0.061035,0.1875,-0.96875,-0.071289,-0.006592,6
2021-03-24 14:42:04.079,-0.96875,-0.056396,0.1875,-0.96875,-0.081787,0.003662,6
2021-03-24 14:42:04.099,-0.96875,-0.049561,0.186279,-0.966309,-0.070801,-0.0070799999999999,6
2021-03-24 14:42:04.119,-0.96875,-0.064697,0.192871,-0.980957,-0.051025,-0.029053,6
2021-03-24 14:42:04.140,-0.96875,-0.0625,0.2053219999999999,-0.975098,-0.045654,-0.021973,6
2021-03-24 14:42:04.159,-0.96875,-0.0625,0.2016599999999999,-0.967529,-0.046875,-0.0144039999999999,6
2021-03-24 14:42:04.180,-0.96875,-0.063965,0.209473,-0.96875,-0.046875,-0.015625,6
2021-03-24 14:42:04.199,-0.96875,-0.0539549999999999,0.220703,-0.96875,-0.0444339999999999,-0.017822,6
2021-03-24 14:42:04.220,-0.966797,-0.051758,0.216797,-0.96875,-0.060791,-0.003662,6
2021-03-24 14:42:04.239,-0.977783,-0.066162,0.2260739999999999,-0.96875,-0.0488279999999999,0.002686,6
2021-03-24 14:42:04.260,-0.978516,-0.052734,0.236328,-0.96875,-0.058838,-0.0144039999999999,6
2021-03-24 14:42:04.279,-0.966797,-0.054688,0.234375,-0.96875,-0.064697,-0.001221,6
2021-03-24 14:42:04.300,-0.970703,-0.055908,0.236328,-0.96875,-0.049072,-0.0129389999999999,6
2021-03-24 14:42:04.319,-0.959961,-0.044922,0.223633,-0.96875,-0.046631,-0.017334,6
2021-03-24 14:42:04.340,-0.949219,-0.046875,0.22583,-0.96875,-0.04541,-0.000244,6
2021-03-24 14:42:04.359,-0.962158,-0.046875,0.23584,-0.96875,-0.061035,-0.015137,6
2021-03-24 14:42:04.380,-0.969971,-0.046875,0.231934,-0.96875,-0.0625,0.0,6
2021-03-24 14:42:04.400,-0.96875,-0.046875,0.244141,-0.96875,-0.0625,-0.014893,6
2021-03-24 14:42:04.420,-0.970947,-0.046875,0.253418,-0.96875,-0.0625,-0.015625,6
2021-03-24 14:42:04.440,-0.958252,-0.046875,0.239502,-0.96875,-0.0625,-0.015381,6
2021-03-24 14:42:04.460,-0.951904,-0.046875,0.230957,-0.984131,-0.0625,0.0,6
2021-03-24 14:42:04.480,-0.953125,-0.046875,0.245361,-0.967773,-0.0625,-0.015381,6
2021-03-24 14:42:04.500,-0.953125,-0.049072,0.250732,-0.96875,-0.0625,0.000977,6
2021-03-24 14:42:04.520,-0.953125,-0.035156,0.25,-0.96875,-0.0625,0.0,6
